StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31,Q36_1,Q4,Q5,Q8,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q9,Q10,Q17,Q11,Q7,Q12,Q14,Q15,Q32,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study of Parents' Childcare Decision Making



The Anita Zucker Center for Excellence in Early Childhood Studies at UF is conducting a study to help understand parents' decision-making related to Florida School Readiness program (ELC voucher/subsidy). We are hoping that you will complete a survey describing your choices related to the Florida School Readiness program (ELC voucher/subsidy). There are no known risks associated with your participation in this survey which should take less than 10 minutes. Your anonymous responses will be used to help inform policy for childcare in the state of Florida.



Your participation in this survey is completely voluntary and you can stop at any time. If you agree to participate, please click the ""I agree to participate"" button below. If you do not wish to participate, please click the ""I do not wish to participate"" button below or exit the survey at this time.



If you have questions, please contact the Principal Investigator, Herman T. Knopf, at 352-273-4243, or the Institutional Review Board at 352-273-9600. If you would like a copy of this for your records, please contact Dr. Knopf at hknopf@ufl.edu.",Our records show that you completed an application for Florida School Readiness program (ELC voucher/subsidy) but did not enroll in the program. Is this correct?,What is your county of residence? - 1,What is the primary reason that you did not participate in the Florida School Readiness program (ELC voucher/subsidy)?,"If you no longer needed childcare for your child(ren), why did you no longer need it? Select all that apply.","If you had trouble finding childcare, please select all of the reasons that apply.","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Price","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Location","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Quality","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Hours of operation","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Teacher qualifications","What are the most important characteristics that you want in a childcare provider?



Please rank the following options from most important (1) to least important (6) by dragging and dropping the answer choices in the order of importance to you. - Preferred language",How many children do you have that need childcare?,How much are you willing to spend on childcare per week for your [QID9-ChoiceGroup-SelectedChoices] who need care?,For what age(s) were you not able to find an opening? Select all that apply.,Were you looking for care closer to...,What is your primary mode of transportation?,How far from [QID11-ChoiceGroup-SelectedChoices] would you like your childcare provider to be located?,Provider opens at... (AM),Provider closes at... (PM),"What is your household size? Including yourself, all children, and all adults currently living in your home.",What is your marital status?,Please select the language that you most commonly speak at home.,How well do you speak English?,Which of the following categories do you think best describes your total household income last year (wages and salaries from all jobs)?,What is the highest grade or level of schooling that you have completed?,What is your current employment status?,Are you enrolled in school or a career/technical training program?,What is your ethnicity?,What is your race? Select one or more.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID11""}","{""ImportId"":""QID7""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}"
2023-11-15 15:38:24,2023-11-15 15:49:19,IP Address,128.227.169.49,8,654,False,2023-11-22 15:49:21,R_2YECkRnarC5XUU5,,,,,,,anonymous,EN,I agree to participate.,Yes,,I had trouble finding a provider that met my needs.,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 09:20:36,2023-11-27 09:24:54,IP Address,139.64.204.2,100,257,True,2023-11-27 09:24:55,R_27vY861jwW8Y0oE,,,,,26.6642,-80.1732,anonymous,EN,I agree to participate.,Yes,Palm Beach,I had trouble finding a provider that met my needs.,Other,I could not find a provider with openings to serve my child/children.,3,2,1,4,5,6,"1 child ","$25-50 ","6-years-old or older  ","Home  ","Personal motor vehicle ",5 to 10 minutes,6,6,3,"Divorced/Separated ","English ",Very well,"$40,000 to $49,000 ",Graduate or professional degree,"Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-27 09:47:39,2023-11-27 09:47:58,IP Address,172.56.96.30,100,18,True,2023-11-27 09:47:58,R_3nfrUVCgVLJJ8fc,,,,,27.959,-82.4938,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 10:23:57,2023-11-27 10:24:19,IP Address,166.199.169.12,100,21,True,2023-11-27 10:24:19,R_3s7yUyV6c727ifV,,,,,36.1671,-86.7861,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 11:00:49,2023-11-27 11:01:21,IP Address,172.56.74.33,100,32,True,2023-11-27 11:01:22,R_1lfVkk1Wfs6Et8R,,,,,28.5788,-81.4396,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 10:57:59,2023-11-27 11:03:18,IP Address,72.187.241.186,100,319,True,2023-11-27 11:03:19,R_AifNIC0UOd54QQ9,,,,,27.9906,-82.7455,anonymous,EN,I agree to participate.,Yes,Pasco,I had trouble finding a provider that met my needs.,Other,Available providers were too expensive.,4,3,1,2,5,6,"1 child ","$25-50 ","4-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,7,6,3,Single,"English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed part-time ",No,Not Hispanic or Latino,"Black or African American,White,Other"
2023-11-27 11:37:37,2023-11-27 11:38:10,IP Address,166.205.159.56,100,32,True,2023-11-27 11:38:10,R_9ZhbL8DDj2Kr9Xb,,,,,25.8119,-80.2318,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 11:54:22,2023-11-27 11:57:25,IP Address,155.130.130.204,100,183,True,2023-11-27 11:57:26,R_1d5BizqbCgssthk,,,,,41.8764,-87.6133,anonymous,EN,I agree to participate.,Yes,Sarasota,"My circumstances changed, and I no longer needed childcare for my child(ren).",Other,Other,2,1,3,4,5,6,"1 child ","$75-100 ",Less than 1 year-old,"Home  ","Personal motor vehicle ",Less than 5 minutes,8:00,5:00,1,Single,"English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",No,Prefer not to answer,Prefer not to answer
